순,등록번호,서명,현재KDC,현재청구기호,워커상태,판정,유형,권고KDC,사유
2,EM197453,AI가 다 하고 내가 돈 버는 앱 만들기,005.53,005.53 서97가,ok,FAIL,표목 불일치,005.58,"005.53은 스프레드시트(Excel). 모바일앱은 005.58 — 워커는 경로에 ""005.53 모바일 앱""이라 적어 실재하지 않는 표목을 번호에 붙였다"
5,EM197456,분투 없이 열리는 길은 없다,074.3,074.3 권883분,ok,FAIL,표목 불일치,070.13 또는 070.19,074는 지역구분 -4(북아메리카)의 신문. 한국 공영방송 독립성·언론개혁 자료와 무관
10,EM197461,나는 왜 베프가 없을까?,180.4,180.4 양15나,ok,FAIL,미존재 세목,189.2 또는 183.3,"180.4는 본표에 없는 세목(180은 .1 이론, .73 연구방법론만). 청소년 대인관계는 189.2"
12,EM197463,딱 ‘한 번 더’ 하면 인생이 달라진다,188,188 베64딱,ok,FAIL,표목 불일치,199.1,188은 상법·운명판단(점술). 동기부여 자기계발서와 무관
14,EM197465,미식의 교양,593.2,593.2 하32미,qa_failed,FAIL,표목 불일치,594.019,"593은 몸치장(몸단장)·화장. 미식·식도락은 594.019 — 워커 경로는 ""593 식생활. 음식. 요리""라는 실재하지 않는 표목을 기재"
16,EM197467,부처의 생각하지 않는 연습,223.53,223.53 코68부,qa_failed,FAIL,표목 불일치,224.3,"223.53은 반야부(경전). KDC6 199 주기에 ""불교수양서 → 224.3"" 명시"
17,EM197468,사람 보는 눈이 없는 당신에게,186,186 궈77사,qa_failed,FAIL,표목 불일치,189.2,186은 임상심리학. 인간관계·성격 읽기는 189.2(개인 간의 관계)
19,EM197470,사춘기를 여행하는 중생의 안내서,187.2,187.2 효295사,ok,FAIL,표목 불일치,199.5 또는 224.3,187.2는 정신감응술(이심전심·독심술). 청소년 상담서와 무관
20,EM197471,삶은 사유가 아니라 돌파다,197,197 톨57삶,ok,FAIL,표목 불일치,169.3,197은 성윤리. 러시아철학은 169(.3 19·20세기)
25,EM197476,선악의 발명,172,172 자66선,ok,FAIL,표목 불일치,191.16 또는 190.109,172는 귀납법(논리학). 도덕의 역사·진화윤리는 191.16(선악)/190.109(윤리학사)
27,EM197478,시작이 준비를 이긴다,180.4,180.4 프298시,qa_failed,FAIL,미존재 세목,199.1,180.4 미존재. 처세·성공 자기계발서
33,EM197484,원니스,180.4,180.4 육94원,qa_failed,FAIL,미존재 세목,189,180.4 미존재. 셀프코칭은 응용심리학(189)
37,EM197488,잘되는 사람의 뇌과학,325.19,325.19 브294잘,qa_failed,FAIL,표목 불일치,181 또는 189,325.19는 경영혁신·변화관리. 뇌과학 기반 자기계발서와 무관
41,EM197492,가장 거대한 악은 전쟁,341.3,341.3 헤78가,qa_failed,FAIL,표목 불일치,349,341.3은 봉건국가. 전쟁 비판·미국 대외정책은 349(외교·국제관계)
64,EM197515,부동산 전문 변호사의 경매 유치권 이렇게 쉬웠어?,325.211,325.211 이58부,ok,FAIL,표목 불일치,327.87 또는 365.7,325.211은 비즈니스 관련 개인의 성공. 부동산 경매·유치권 실무서
