구분,09-04 검토,등록번호,서명,저자,출판사,ISBN,부가기호,최초분류,하네스 권고,최종 분류,청구기호,워커상태,본표 표목,워커 근거,검증 지적,사서 결정(기입)
② 참고(워커가 표목 미확인 표시),FAIL,EM197453,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬 지음,길벗,9791140718870,93000,005.53,005.58,005.1,005.1 서97에,needs_info,프로그램 및 프로그래밍언어 알고리즘을,"챗GPT·커서 등 AI 코딩 툴로 앱을 기획·개발·출시·수익화하는 안내서로, 특정 언어가 아닌 소프트웨어 개발 일반에 해당한다. 하네스 권고 005.58(응용소프트웨어)이 내용상 가장 적합하나 자관 세목 분포에 존재하지 않아 사용할 수 없다. 이전 분류 005.53은 스프레드시트이므로 부적합하며, 자관 분포에서 압도적 다수(54건)를 차지하는 005.1을 선택했다.","[WARN] 워커가 표목 미확인으로 표시(005.1, 본표 '프로그램 및 프로그래밍언어 알고리즘을') / [INFO] 권고(005.58)와 다른 번호를 선택 — 근거 확인 필요",
② 참고(워커가 표목 미확인 표시),FAIL,EM197541,콘크리트 유토피아,박해천 지음,워크룸프레스,9791194232407,03300,394,331.47 또는 539.7,331.47,331.47 박93콘,needs_info,"도시사회학, 도시지역사회학","아파트와 중산층, 세대론을 사회학적 관점에서 분석한 책으로 사회학(331)으로 분류한다. 공학(539)이 아닌 사회문화적 접근이므로 331이 적합하며, 동일 저자의 전작이 331.47로 분류되어 있고 자관에서도 331.47를 다수 사용하고 있어 이에 준한다.","[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",
② 참고(워커가 표목 미확인 표시),FAIL,EM197545,강아지가 하는 말,릴리 친 글·그림 ;김선아 옮김,책공장더불어,9791124147023,12490,591.7,527.41,527.41,527.41 친298강,needs_info,개,"개의 몸짓 언어와 행동을 다루므로 축산학의 개(527.41)로 분류. 발췌에 527.41 표목이 없어 표목 미확인 처리했으나, 자관 분포에서 527.41이 다수 사용되고 있어 해당 번호를 따름. 사서 힌트 641(한자의 서체)은 주제와 무관하여 배제.","[WARN] 워커가 표목 미확인으로 표시(527.41, 본표 '개')",
② 참고(워커가 표목 미확인 표시),FAIL,EM197567,난생처음 피부과 상담,성재영 지음,군자출판사(교재),9791170685012,13590,598,512.9 또는 593,512.54,512.54 성73난,needs_info,식이요법,"하네스는 512.9를 권고하였으나 본표에서 해당 번호의 표목을 확인할 수 없으며, 자관 분포상 의료 상담 및 실무 관련 도서가 512.54에 압도적으로 집중되어 있어 해당 번호를 부여함. 593은 몸치장·화장 분야로 부적절하고, 598은 육아로 명확히 틀림.","[WARN] 워커가 표목 미확인으로 표시(512.54, 본표 '식이요법') / [INFO] 권고(512.9 또는 593)와 다른 번호를 선택 — 근거 확인 필요",
② 참고(워커가 표목 미확인 표시),FAIL,EM197568,내 아이의 언어 감각,임동선 지음,웅진지식하우스,9788901300184,03590,590.4,598.1,598.1,598.1 임25내,needs_info,육아 일반,"0~7세 유아의 언어 발달, 이중 언어 습득, 문해력, 책 읽기 등을 다루는 육아 가이드이므로 598 육아로 분류. 본표 발췌에 598.1의 표목이 없어 확인 불가하나, 자관 분포에서 598.1이 558건으로 압도적 다수이며 하네스 권고와 일치하므로 598.1을 사용함.","[WARN] 워커가 표목 미확인으로 표시(598.1, 본표 '육아 일반')",
② 참고(워커가 표목 미확인 표시),FAIL,EM197581,"이것만 알면 인테리어 공사로 1,000만 원 벌 수 있다",양승환 지음,두드림미디어,9791124026434,13590,525.8,595 또는 548.95,595.4,595.4 양57이,needs_info,"홈인테리어 및 가정설비방, 마루, 천장, 가구","철거·설비·창호·전기·목공·타일·페인트·바닥재·도배 등 인테리어 시공 전 공정을 Q&A로 정리한 실전 안내서로 주택 관리 및 설비 분야에 해당한다. 하네스 권고 595를 본표에서 '주택관리 및 가정설비'로 확인하였고, 자관에서 595.4를 압도적 다수(127건)로 사용하므로 이에 따른다. 548 건축마감도 내용상 후보다. 단 595.4의 세부 표목은 본표 발췌에서 직접 확인하지 못했다.","[WARN] 워커가 표목 미확인으로 표시(595.4, 본표 '홈인테리어 및 가정설비방, 마루, 천장, 가구') / [INFO] 권고(595 또는 548.95)와 다른 번호를 선택 — 근거 확인 필요",
② 참고(워커가 표목 미확인 표시),FAIL,EM197588,추추의 집밥 클래스,저자 : 추재현,용감한까치,9791191994513,13590,597.3,594.51,594.51,594.51 추73추,needs_info,한국요리,"발췌에서 597은 가정위생으로 확인되어 앞선 분류 597.3은 부적절. 594 식품과 음료 영역이 적합하며, 자관 분포에서 594.51이 89건 사용 중으로 한식 조리법에 대응됨을 확인. 하네스 권고 594.51을 채택하나 간략판 발췌에 594 세목이 없어 표목은 미확인.","[WARN] 워커가 표목 미확인으로 표시(594.51, 본표 '한국요리')",
② 참고(워커가 표목 미확인 표시),FAIL,EM197747,좋은 전쟁,래너 미터 지음 ;유강은 옮김,언더스탠드,9791199220515,03910,911,912.07 또는 909,912.07,912.07 미884좋,needs_info,"중화민국시대, 최근세 1912-","중일전쟁과 제2차 세계대전의 기억이 현대 중국의 민족주의와 국제관계에 미친 영향을 분석한 책으로 중국사(912)로 분류한다. 이전 분류 911은 한국사로 내용과 전혀 맞지 않으며, 사서 힌트 923은 스칸디나비아로 역시 부적절하다. 하네스 권고 912.07을 따르되 본표 발췌에 912의 세목이 없어 표목을 직접 확인할 수 없으므로 confidence를 low로 설정한다.","[WARN] 워커가 표목 미확인으로 표시(912.07, 본표 '중화민국시대, 최근세 1912-')",
② 참고(워커가 표목 미확인 표시),WARN,EM197504,감정 채굴,저자 : 에바 일루즈;역자 : 최지수,돌베개,9791124669020,03300,330.4,331.5 또는 321,331.5,331.5 일296감,needs_info,"문화, 문화과정문화사회학","자관에서 동일 저자의 감정과 자본주의 관련 저작(감정 자본주의)을 331.5로 분류하여 이를 따름. 하네스 권고 또한 331.5를 제시하며, 감정 데이터와 소셜 네트워크 등 기술 자본주의의 사회학적 분석이므로 331.5가 적절함. 단, 제공된 본표 발췌에 331.5의 표목이 없어 표목 미확인 처리함.","[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')",
② 참고(워커가 표목 미확인 표시),WARN,EM197522,성공의 배신,베른트 크라머 지음 ;이은미 옮김,추수밭(청림출판),9791155402702,03300,330.1,331.5 또는 336,331.5,331.5 크292성,needs_info,"문화, 문화과정문화사회학","능력주의, 성공의 우연성, 불평등 심화 등 사회계층 및 사회이동을 다루므로 331.5가 가장 적합하다. 자관 분포에서도 331.5 및 그 세목이 압도적으로 많이 사용된다. 사서 힌트 337(여성문제)은 주제와 무관하여 배제한다. 제공된 본표 발췌에 331.5의 표목이 없어 경로 상 '표목 미확인'으로 처리하고 신뢰도를 low로 설정한다.","[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')",
