등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197457,읽는 여성의 역사,337.0911,029.4 또는 337.09,337,337 최94읽,세목 부적합,ok,high,INFO,[INFO] 권고(029.4 또는 337.09)와 다른 번호를 선택 — 근거 확인 필요,3 사회과학 → 33 사회학 → 337 여성문제
EM197459,거절의 기술,325.211,189.2 또는 194.2,189.2,189.2 패887거,세목 부적합,ok,high,통과,,1 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197460,나는 나다운 공간에서 살고 싶다,100,814.7,814.7,814.7 오57나,세목 누락,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197464,마흔에 읽는 하이데거,104,165.84,165.84,165.84 한52마,세목 부적합,ok,high,통과,,"1 철학 → 160 서양철학 → 165 독일, 오스트리아철학 → 165.8 현상학 및 실재주의 → 165.84 하이데거"
EM197466,부자들은 절대 속지 않는 돈의 함정,325.211,327.04,327.04,327.04 셰75부,세목 부적합,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 327 '금융 재정',3 사회과학 → 32 경제학 → 327 금융 → 327.04 개인금융
EM197472,삶의 불안을 잠재우는 노자의 말,150,152.222,152.222,152.222 노36삶,세목 누락,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '노자' ≠ 워커 '도덕경' (번호는 권고와 일치),"150 동양철학, 동양사상 → 152 중국 철학, 사상 → 152.22 노자 → 152.222 도덕경"
EM197477,소원이 이루어지는 작은 호텔,325.211,853 또는 199.1,199,199,세목 부적합,qa_failed,high,INFO,[INFO] 권고(853 또는 199.1)와 다른 번호를 선택 — 근거 확인 필요,"1 철학 → 199 도덕훈, 교훈"
EM197479,"신, 인간, 동물, 기계",180.1,500.1 또는 165,180,180 오18신,세목 부적합,needs_info,low,WARN,[WARN] 강목 180까지만 부여 — 세목 검토 필요 / [INFO] 권고(500.1 또는 165)와 다른 번호를 선택 — 근거 확인 필요,100 철학 → 180 심리학
EM197480,아무것도 아닐 때 나는 무엇인가?,100,199.1 또는 290.1,199.1,199.1 네298아,세목 누락,ok,high,통과,,"1 철학 → 199 도덕훈, 교훈 → 199.1 인생훈"
EM197481,어른이 되면 관계가 쉬워질 줄 알았는데,184,189.2,189.2,189.2 성66어,세목 부적합,qa_failed,high,통과,,100 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197483,운의 그릇,325.211,199.1,199.1,199.1 사885운,세목 부적합,ok,high,통과,,"1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.1 인생훈"
EM197485,위험 예찬,184,166 또는 864,166.8,166.8 뒤896위,세목 부적합,qa_failed,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 166 '프랑스, 네덜란드철학' / [INFO] 권고(166 또는 864)와 다른 번호를 선택 — 근거 확인 필요","100 철학 → 160 유럽철학 → 166 프랑스, 네덜란드철학 → 166.8 (자관 분포 확인)"
EM197487,자신의 불안과 싸우지 말 것,100,185.3 또는 224.3,185.3,185.3 베297자,세목 부적합,ok,high,통과,,100 철학 → 180 심리학 → 185 생리심리학 → 185.3 정신위생
EM197489,종교를 실험하다,180,185 또는 201.1,201,201,세목 누락,qa_failed,low,INFO,[INFO] 권고(185 또는 201.1)와 다른 번호를 선택 — 근거 확인 필요,200 종교 → 201 종교철학 및 종교사상
EM197491,파이터의 마음 근육,180,692.01,692.8,692.8 김73파,세목 누락,ok,high,INFO,[INFO] 권고(692.01)와 다른 번호를 선택 — 근거 확인 필요,6 기술과학 → 690 스포츠 → 692 체육학. 스포츠 → 692.8 체육심리학
EM197493,길 위에서 바울을 보다,230.4,233 또는 982.802,233,233 미198길,세목 부적합,ok,high,통과,,2 종교 → 230 기독교 → 233 성서(성경)
EM197498,신들은 생각하라고 말한다,290.1,219,219.21,219.21 파57신,세목 부적합,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 219 '신화, 신화학신화의 기원, 의식, 기능 및 비교신화' / [INFO] 권고(219)와 다른 번호를 선택 — 근거 확인 필요","2 종교 → 21 비교종교 → 219 신화, 신화학 → 219.2 서양신화 → 219.21 그리스·로마신화"
EM197502,"60세부터 90세까지, 현명하게 돈 쓰는 법",327.8,327.04 또는 338.6,335,335 오64세,세목 부적합,ok,high,INFO,[INFO] 권고(327.04 또는 338.6)와 다른 번호를 선택 — 근거 확인 필요,"3 사회과학 → 330 사회학, 사회문제 → 335 생활문제"
EM197503,가미야마,331.5,539.7 또는 331.47,539,539 시195가,세목 부적합,ok,high,INFO,[INFO] 권고(539.7 또는 331.47)와 다른 번호를 선택 — 근거 확인 필요,"5 기술과학 → 530 공학, 공업일반, 토목공학, 환경공학 → 539 위생, 도시, 환경공학"
EM197504,감정 채굴,330.4,331.5 또는 321,331.5,331.5 일296감,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')","330 사회학, 사회문제 → 331 사회학 → 331.5 표목 미확인"
EM197505,고스팅,300,331.1 또는 331.5,331.1,331.1 페887고,세목 누락,ok,high,통과,,300 사회과학 → 331 사회학 → 331.1 사회심리학
EM197506,공부나 하라고요? 세상이 이 모양인데?,332,340 또는 070.4,340,340 토18공,세목 부적합,ok,high,WARN,[WARN] 강목 340까지만 부여 — 세목 검토 필요,300 사회과학 → 340 정치학
EM197508,노력이 무기가 될 때,370.4,378.9,378.9,378.9 김94노,세목 부적합,ok,high,통과,,370 교육학 → 378 평생교육 → 378.9 부모교육
EM197509,"달러, 코인, 전쟁",327.856,327.2,327.2,327.2 고57달,세목 부적합,ok,high,통과,,327 금융·재정 → 327.2 화폐
EM197511,리더의 옷은 생각보다 무거웠다,300,325.24,325.24,325.24 이18리,세목 누락,ok,high,통과,,300 사회과학 → 320 경제학 → 325 경영학 → 325.2 경영관리 → 325.24 리더십
EM197512,리더의 일은 맡기는 것이 전부다,325.211,325.24 또는 325.3,325.24,325.24 이42리,세목 부적합,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '경영자최고경영자 및 중간관리자의 역할, 권한, 지위, 리더십' ≠ 워커 '조직관리' (번호는 권고와 일치)",325 경영 → 325.2 경영일반 → 325.24 조직관리
EM197513,미국은 왜 전쟁에서 승리하지 못하는가,300,390 또는 349,390,390 스885미,세목 누락,qa_failed,high,WARN,[WARN] 강목 390까지만 부여 — 세목 검토 필요,"300 사회과학 → 390 국방, 군사학"
EM197519,상처를 끄는 존재들,300,338.9 또는 539.98,301,301 테68상,세목 누락,ok,high,INFO,[INFO] 권고(338.9 또는 539.98)와 다른 번호를 선택 — 근거 확인 필요,300 사회과학 → 301 사회사상
EM197522,성공의 배신,330.1,331.5 또는 336,331.5,331.5 크292성,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')",3 사회과학 → 33 사회학 → 331 사회학 → 표목 미확인
