순,서명,워커상태,QA지적/needs_info,하네스판정,비고
11,니체와 함께 지적 대화를,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
14,미식의 교양,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
16,부처의 생각하지 않는 연습,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
17,사람 보는 눈이 없는 당신에게,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
26,소원이 이루어지는 작은 호텔,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
27,시작이 준비를 이긴다,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
30,어른이 되면 관계가 쉬워질 줄 알았는데,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
33,원니스,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
34,위험 예찬,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
37,잘되는 사람의 뇌과학,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
38,종교를 실험하다,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
