등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197453,AI가 다 하고 내가 돈 버는 앱 만들기,005.53,005.58,005.1,005.1 서97가,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(005.1, 본표 '프로그램 및 프로그래밍언어 알고리즘을') / [INFO] 권고(005.58)와 다른 번호를 선택 — 근거 확인 필요","0 컴퓨터과학 → 005 프로그래밍, 프로그램, 데이터 → 005.1 표목 미확인"
EM197456,분투 없이 열리는 길은 없다,074.3,070.13 또는 070.19,070.42,070.42 권883분,표목 불일치,ok,high,FAIL,[FAIL] 표목 불일치: 본표 '뉴스 취재 및 보도' ≠ 워커 '한국 방송' / [INFO] 권고(070.13 또는 070.19)와 다른 번호를 선택 — 근거 확인 필요,"0 총류 → 070 신문, 저널리즘 → 070.4 한국 → 070.42 한국 방송"
EM197461,나는 왜 베프가 없을까?,180.4,189.2 또는 183.3,189,189 양15나,미존재 세목,needs_info,low,INFO,[INFO] 권고(189.2 또는 183.3)와 다른 번호를 선택 — 근거 확인 필요,1 철학 → 180 심리학 → 189 응용심리학 일반
EM197463,딱 ‘한 번 더’ 하면 인생이 달라진다,188,199.1,199.1,199.1 베64딱,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '인생훈' ≠ 워커 '처세술' (번호는 권고와 일치),"1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.1 처세술"
EM197465,미식의 교양,593.2,594.019,594.019,594.019 하32미,표목 불일치,qa_failed,high,WARN,[WARN] 표목 인용 미준수: 본표 '미식과 식도락맛집탐방을' ≠ 워커 '미식·식도락' (번호는 권고와 일치),5 기술과학 → 59 가정과학 → 594 식품과 음료 → 594.019 미식·식도락
EM197467,부처의 생각하지 않는 연습,223.53,224.3,224.3,224.3 코69부,표목 불일치,qa_failed,high,WARN,"[WARN] 표목 인용 미준수: 본표 '신앙록, 명상록종교적 차원의 신앙록, 명상록, 수양서' ≠ 워커 '불교수양' (번호는 권고와 일치)","200 종교 → 220 불교 → 224 종교신앙, 신앙록, 신앙생활 → 224.3 불교수양"
EM197468,사람 보는 눈이 없는 당신에게,186,189.2,189.2,189.2 궈77사,표목 불일치,qa_failed,high,통과,,1 철학 → 180 심리학 → 189 응용심리학 일반 → 189.2 개인 간의 관계
EM197470,사춘기를 여행하는 중생의 안내서,187.2,199.5 또는 224.3,199.5,199.5 효295사,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '청년훈' ≠ 워커 '불교 도덕훈, 교훈' (번호는 권고와 일치)","1 철학 → 190 윤리학, 도덕철학 → 199 도덕훈, 교훈 → 199.5 불교 도덕훈, 교훈"
EM197471,삶은 사유가 아니라 돌파다,197,169.3,169.3,169.3 톨57삶,표목 불일치,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 169 '러시아철학',100 철학 → 169 러시아철학 → 169.3 19·20세기
EM197476,선악의 발명,172,191.16 또는 190.109,191.1,191.1 자66선,표목 불일치,ok,high,FAIL,"[FAIL] 표목 불일치: 본표 '가치론, 덕론' ≠ 워커 '선악' / [INFO] 권고(191.16 또는 190.109)와 다른 번호를 선택 — 근거 확인 필요","100 철학 → 190 윤리학, 도덕철학 → 191 일반윤리학 각론 → 191.1 선악"
EM197478,시작이 준비를 이긴다,180.4,199.1,199,199 프298시,미존재 세목,ok,high,INFO,[INFO] 권고(199.1)와 다른 번호를 선택 — 근거 확인 필요,"1 철학 → 19 윤리학, 도덕철학 → 199 도덕훈, 교훈"
EM197484,원니스,180.4,189,189,189 육94원,미존재 세목,qa_failed,high,통과,,1 철학 → 180 심리학 → 189 응용심리학
EM197488,잘되는 사람의 뇌과학,325.19,181 또는 189,189,189 브294잘,표목 불일치,qa_failed,high,통과,,180 심리학 → 189 응용심리학 일반
EM197492,가장 거대한 악은 전쟁,341.3,349,349,349 헤78가,표목 불일치,qa_failed,high,통과,,"3 사회과학 → 340 정치학 → 349 외교, 국제관계"
EM197515,부동산 전문 변호사의 경매 유치권 이렇게 쉬웠어?,325.211,327.87 또는 365.7,327.87,327.87 이58부,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '부동산투자' ≠ 워커 '부동산 경매·투자(자관 세목)' (번호는 권고와 일치),3 사회과학 → 320 경제학 → 327 금융 → 327.87 부동산 경매·투자(자관 세목)
EM197517,"사라지는 돈, 살아남는 돈, 불어나는 돈",327.87,327.856,327.83,327.83 김95사,표목 불일치,ok,high,FAIL,[FAIL] 표목 불일치: 본표 '투자실무' ≠ 워커 '주식투자' / [INFO] 권고(327.856)와 다른 번호를 선택 — 근거 확인 필요,3 사회과학 → 32 경제 → 327 금융 → 327.8 투자. 투자론 → 327.83 주식투자
EM197520,상처받은 아이가 아름답다,590.4,598.1 또는 370.18,598.1,598.1 이64상,표목 불일치,ok,high,통과,,590 생활과학 → 598 육아 → 598.1
EM197525,소우주,678,673.5 또는 818,818,818 한57소,표목 불일치,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197535,중국 AI 미래 지도,325.211,321 또는 004.73,321,321 임54중,표목 불일치,ok,high,통과,,320 경제학 → 321 경제각론
EM197537,질서의 종말,346,349,349,349 카897질,표목 불일치,qa_failed,high,통과,,"3 사회과학 → 340 정치학 → 349 외교, 국제관계"
EM197538,책은 죽지 않는다 本は死なない,824.7,834.6,834,834 이58책,문학 언어 오배정,ok,high,INFO,[INFO] 권고(834.6)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 83 일본문학 및 기타 아시아 제문학 → 834 수필
EM197539,청소년과 함께하는 민주주의 이야기,343,340 또는 342,340,340 최883청,미배정 번호,ok,high,WARN,[WARN] 강목 340까지만 부여 — 세목 검토 필요,3 사회과학 → 340 정치학
EM197541,콘크리트 유토피아,394,331.47 또는 539.7,331.47,331.47 박93콘,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",3 사회과학 → 331 사회학 → 표목 미확인
EM197542,키는 타이밍입니다,590.4,598.1 또는 517.2,598.1,598.1 박57키,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '육아 일반' ≠ 워커 '영유아 및 아동' (번호는 권고와 일치),5 기술과학 → 590 생활과학 → 598 육아 → 598.1 영유아 및 아동
EM197544,헤이세이는 왜 실패했는가,327.87,320.913 또는 322,322,322 노16헤,표목 불일치,ok,high,통과,,3 사회과학 → 320 경제학 → 322 경제정책
EM197545,강아지가 하는 말,591.7,527.41,527.41,527.41,미존재 세목,qa_failed,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(527.41, 본표 '개')","5 기술과학 → 52 농업, 농학 → 527 축산학 → 527.41 표목 미확인"
EM197548,별과 원자,446,443,443,443 에28별,표목 불일치,qa_failed,high,통과,,4 순수과학 → 440 천문학 → 443 기술천문학
EM197550,생각하는 청소년을 위한 생화학의 역사,546,471.4 또는 474,435.9,435.9 정65생,표목 불일치,qa_failed,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 435 '무기화학무기화합물은 435-436에 제시된 원소에 분류한다' / [INFO] 권고(471.4 또는 474)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 43 화학 → 435 생화학 → 435.9 생화학의 역사
EM197554,아인슈타인이 알았더라면,422,420.13 또는 429,420.13,420.13 아57아,표목 불일치,qa_failed,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 420 '물리학특정주제에 응용된 물리학은 해당주제 아래에 분류한다. 예: 지구물리학',4 순수과학 → 42 물리학 → 420.13 표목 미확인
EM197556,천재 박쥐,473,496.8,499,499 요44천,표목 불일치,ok,high,INFO,[INFO] 권고(496.8)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 490 동물학 → 499 포유류
EM197567,난생처음 피부과 상담,598,512.9 또는 593,512.54,512.54 성73난,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(512.54, 본표 '식이요법') / [INFO] 권고(512.9 또는 593)와 다른 번호를 선택 — 근거 확인 필요",5 기술과학 → 510 의학 → 512 임상의학 일반 → 표목 미확인
EM197568,내 아이의 언어 감각,590.4,598.1,598.1,598.1 임25내,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(598.1, 본표 '육아 일반')",5 기술과학 → 59 생활과학 → 598 육아 → 598.1 표목 미확인
EM197569,내일식단의 속세맛 다이어트 치트키,596.9,594.5,594.5,594.5 김38내,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '요리' ≠ 워커 '조리법, 레시피' (번호는 권고와 일치)","5 기술과학 → 59 생활과학 → 594 식품과 음료 → 594.5 조리법, 레시피"
EM197572,무염·저염 하나로 끝내는 베이스 유아식,596.9,594.5,594.5,594.5 애897무,표목 불일치,ok,high,통과,,5 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 요리
EM197573,세포를 재생하면 질병은 낫는다,514.1,512 또는 513,512.57,512.57 조44세,표목 불일치,ok,high,FAIL,"[FAIL] 표목 불일치: 본표 '민간요법지압요법, 촉수요법' ≠ 워커 '생활요법' / [INFO] 권고(512 또는 513)와 다른 번호를 선택 — 근거 확인 필요",5 기술과학 → 51 의학 → 512 임상의학 일반 → 512.57 생활요법
EM197575,실리콘밸리에서 배운 아이 자신감 설계법,337.2,378.9,378.9,378.9 권66실,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '부모교육 가정과 교육과의 관계를' ≠ 워커 '사회교육' (번호는 권고와 일치),3 사회과학 → 37 교육학 → 378 사회교육 → 378.9 사회교육
EM197580,"유연한 채식, 페스카테리언의 식탁",594.36,594.5 또는 594.55,594.5,594.5 지67유,표목 불일치,qa_failed,high,통과,,500 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 요리
EM197581,"이것만 알면 인테리어 공사로 1,000만 원 벌 수 있다",525.8,595 또는 548.95,595.4,595.4 양57이,표목 불일치,qa_failed,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(595.4, 본표 '홈인테리어 및 가정설비방, 마루, 천장, 가구') / [INFO] 권고(595 또는 548.95)와 다른 번호를 선택 — 근거 확인 필요",5 기술과학 → 59 생활과학 → 595 주택관리 및 가정설비 → 595.4 표목 미확인
EM197582,일본 현지 슈퍼마켓 대백과,913.4,981.302 또는 325.5,981.302,981.302 스12일,표목 불일치,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 981 '아시아지리지역구분표 –1에 따라 세분하다. 예: 한국지리 981.1',9 역사 → 981 아시아지리 → 표목 미확인
EM197583,작고 우아한 빛나는 얼굴 만들기 : 안티에이징 편,518.35,512.9 또는 593,512.54,512.54 정92작,표목 불일치,ok,high,FAIL,[FAIL] 표목 불일치: 본표 '식이요법' ≠ 워커 '피부과학' / [INFO] 권고(512.9 또는 593)와 다른 번호를 선택 — 근거 확인 필요,5 기술과학 → 51 의학 → 512 임상의학 일반 → 512.54 피부과학
EM197588,추추의 집밥 클래스,597.3,594.51,594.51,594.51 추73추,표목 불일치,qa_failed,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(594.51, 본표 '한국요리')",5 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 표목 미확인 → 594.51 표목 미확인
EM197590,킬러 푸드,591.7,594.37 또는 598,598,598 배14킬,미존재 세목,ok,high,통과,,5 생활과학 → 598 육아
EM197591,태교의 과학,518,517.2 또는 598,517.32,517.32 이57태,표목 불일치,qa_failed,high,FAIL,[FAIL] 표목 불일치: 본표 '오락과 운동의료적 목적의 운동은 여기에 분류한다' ≠ 워커 '모성보건' / [INFO] 권고(517.2 또는 598)와 다른 번호를 선택 — 근거 확인 필요,"5 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.3 모자보건, 성보건 → 517.32 모성보건"
EM197594,더포스 현이쌤의 알짜 수영 레슨,694.1,696,696,696 이94더,표목 불일치,ok,high,통과,,"6 예술 → 690 오락, 스포츠 → 696 수상경기, 공중경기"
EM197595,디자인 트리거,650.6,658,658,658 윤73디,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '디자인디자인 일반, 장식예술, 도안, 포스터' ≠ 워커 '그래픽디자인, 도안, 포스터' (번호는 권고와 일치)","6 예술 → 650 회화, 도화 → 658 그래픽디자인, 도안, 포스터"
EM197597,샤머니즘의 모든 것,600.04,219 또는 218,219,219 카295샤,표목 불일치,qa_failed,high,WARN,"[WARN] 표목 인용 미준수: 본표 '신화, 신화학신화의 기원, 의식, 기능 및 비교신화' ≠ 워커 '신화, 신학' (번호는 권고와 일치)","200 종교 → 210 비교종교 → 219 신화, 신학"
EM197603,일본 문구 대백과,681.8,589 또는 658,589,589 다57일,표목 불일치,qa_failed,high,통과,,6 기술과학 → 589 소형상품제조
EM197608,로지쌤의 영어 그림책 정공법,748,747.07 또는 374,747,747 로78로,표목 불일치,qa_failed,high,INFO,[INFO] 권고(747.07 또는 374)와 다른 번호를 선택 — 근거 확인 필요,"7 언어 → 74 제어 → 747 독본, 해석, 회화"
EM197610,요만큼만 알아도 미드가 엄청 재밌어진다!,740.7,747.5,747,747 크298요,표목 불일치,qa_failed,high,INFO,[INFO] 권고(747.5)와 다른 번호를 선택 — 근거 확인 필요,"7 언어 → 74 영어 → 747 독본, 해석, 회화"
EM197615,짧은 문장의 힘,802.5,802,802,802 유64짧,표목 불일치,qa_failed,high,통과,,"8 문학 → 800 문학 → 802 문장작법, 수사학"
EM197617,I,833.7,833.6,833.6,833.6,표목 불일치,qa_failed,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197619,간호사 우즈키의 미련,833.7,833.6,833.6,833.6 아878간,표목 불일치,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197620,거울은 먼저 웃지 않는다,813.8,813.7,813.7,813.7 신57거,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197626,그녀와 내가 사계절을 맛있게 즐기는 법,833.8,833.6,833.6,833.6 니68그,대상독자 오판,ok,high,통과,,8 문학 → 83 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197628,그리고 강은 그녀를 끌어내린다,843.7,843,843,843 윤78그,미존재 세목,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197629,"그림책, 알수록 사랑하게 된다",800,028 또는 011,028,028 서94그,비문학을 문학류로,qa_failed,high,FAIL,[FAIL] 본표에 없는 번호(028) — 조기표 조합이면 근거를 밝힐 것,000 총류 → 020 문헌정보학 → 028 독서
EM197634,나만의 스토리가 있는 아이로 키우는 법,818,378.9,378.9,378.9 김45나,표목 불일치,ok,high,통과,,3 사회과학 → 370 교육학 → 378 사회교육 → 378.9
EM197647,마고가 돈 문제에 대처하는 법,843.6,843,843,843 소897마,관 관행 위반,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197651,문제늑대가 우리를 갈라놓았다,823.7,853,853,853 오897문,문학 언어 오배정,qa_failed,high,통과,,8 문학 → 85 독일문학 → 853 소설
